country;iso_code;country_us;continent;CO_PAIS_ISON3
Angola;AGO;Angola;África;24
Cabo Verde;CPV;Cape Verde;África;132
Camarões;CMR;Cameroon;África;120
Comores;COM;Comoros;África;174
Congo;COG;Congo;África;178
Costa do Marfim;CIV;Cote D'Ivore;África;384
Benin;BEN;Benin;África;204
Gana;GHA;Ghana;África;288
Libéria;LBR;Liberia;África;430
Mauritânia;MRT;Mauritania;África;478
Moçambique;MOZ;Mozambique;África;508
Nigéria;NGA;Nigeria;África;566
Quênia;KEN;Kenya;África;404
São Tomé e Príncipe;STP;São Tome and Principe;África;678
Senegal;SEN;Senegal;África;686
Serra Leoa;SLE;Sierra Leone;África;694
Suazilândia;SWZ;Swaziland;África;748
África do Sul;ZAF;South Africa;África;710
Tanzânia;TZA;Tanzania;África;834
Togo;TGO;Togo;África;768
Tunísia;TUN;Tunisia;África;788
Burkina Faso;BFA;Burkina Faso;África;854
Argélia;DZA;Algeria;África;12
Botsuana;BWA;Botswana;África;72
Burundi;BDI;Burundi;África;108
Egito;EGY;Egypt;África;818
Eritreia;ERI;Eritrea;África;232
Etiópia;ETH;Ethiopia;África;231
Gabão;GAB;Gabon;África;266
Gâmbia;GMB;Gambia;África;270
Guiné;GIN;Guinea;África;324
Guiné Equatorial;GNQ;Equatorial Guinea;África;226
Guiné-Bissau;GNB;Guinea-Bissau;África;624
Lesoto;LSO;Lesotho;África;426
Líbia;LBY;Libya;África;434
Madagascar;MDG;Madagascar;África;450
Malavi;MWI;Malawi;África;454
Mali;MLI;Mali;África;466
Marrocos;MAR;Morocco;África;504
Maurício;MUS;Mauritius;África;480
Namíbia;NAM;Namibia;África;516
Níger;NER;Niger;África;562
República Centro-Africana;CAF;Central African Republic;África;140
Reunião;REU;Reunion;África;638
Zimbábue;ZWE;Zimbabwe;África;716
Ruanda;RWA;Rwanda;África;646
Saara Ocidental;ESH;Western Sahara;África;732
Santa Helena;SHN;Saint Helena;África;654
Seicheles;SYC;Seychelles;África;690
Somália;SOM;Somalia;África;706
Sudão;SDN;Sudan;África;736
Sudão do Sul;SSD;South Sudan;África;728
Terras Austrais Francesas;ATF;French Southern Lands;África;898
Território Britânico do Oceano Índico;IOT;British Indian Ocean Territory;África;86
Djibuti;DJI;Djibouti;África;262
Chade;TCD;Chad;África;148
Uganda;UGA;Uganda;África;800
Congo, República Democrática;COD;Democratic Republic of the Congo;África;180
Zâmbia;ZMB;Zambia;África;894
Anguilla;AIA;Anguilla;América Central e Caribe;660
Antígua e Barbuda;ATG;Antigua and Barbuda;América Central e Caribe;28
Antilhas Holandesas;ANT;Netherlands Antilles;América Central e Caribe;530
Aruba;ABW;Aruba;América Central e Caribe;533
Bahamas;BHS;Bahamas;América Central e Caribe;44
Barbados;BRB;Barbados;América Central e Caribe;52
Cayman, Ilhas;CYM;Cayman Islands;América Central e Caribe;136
Costa Rica;CRI;Costa Rica;América Central e Caribe;188
Cuba;CUB;Cuba;América Central e Caribe;192
Curaçao;CUW;Curaçao;América Central e Caribe;531
Dominica;DMA;Dominica Island;América Central e Caribe;212
Granada;GRD;Grenada;América Central e Caribe;308
Guatemala;GTM;Guatemala;América Central e Caribe;320
Haiti;HTI;Haiti;América Central e Caribe;332
Honduras;HND;Honduras;América Central e Caribe;340
Jamaica;JAM;Jamaica;América Central e Caribe;388
Panamá;PAN;Panama;América Central e Caribe;591
Porto Rico;PRI;Puerto Rico;América Central e Caribe;630
República Dominicana;DOM;Dominican Republic;América Central e Caribe;214
El Salvador;SLV;El Salvador;América Central e Caribe;222
São Vicente e Granadinas;VCT;Saint Vicent and the Granadines;América Central e Caribe;670
Suriname;SUR;Suriname;América Central e Caribe;740
Belize;BLZ;Belize;América Central e Caribe;84
Bonaire, Saint Eustatius e Saba;BES;Bonaire, Saint Eustatius and Saba;América Central e Caribe;535
Bouvet, Ilha;BVT;Bouvet Island;América Central e Caribe;74
Falkland (Malvinas);FLK;Falkland Islands (Malvinas);América Central e Caribe;238
Geórgia do Sul e Sandwich do Sul, Ilhas;SGS;South Georgia and the South Sandwich Islands;América Central e Caribe;239
Guadalupe;GLP;Guadeloupe;América Central e Caribe;312
Martinica;MTQ;Martinique;América Central e Caribe;474
Montserrat;MSR;Montserrat;América Central e Caribe;500
Nicarágua;NIC;Nicaragua;América Central e Caribe;558
Saint Kitts e Nevis;KNA;St. Kitts and Nevis;América Central e Caribe;659
São Bartolomeu;BLM;Saint Barthelemy;América Central e Caribe;652
São Cristóvão e Névis;KNA;Saint Christopher and Nevis;América Central e Caribe;659
Sint Maarten;SXM;Sint Maarten;América Central e Caribe;534
Santa Lúcia;LCA;Saint Lucia;América Central e Caribe;662
Trinidad e Tobago;TTO;Trinidad and Tobago;América Central e Caribe;780
Turcas e Caicos, Ilhas;TCA;Turks and Caicos, Islands;América Central e Caribe;796
Virgens, Ilhas (Britânicas);VGB;Virgin Islands (UK);América Central e Caribe;92
Virgens, Ilhas (Americanas);VIR;Virgin Islands (USA);América Central e Caribe;850
Canadá;CAN;Canada;América do Norte;124
Estados Unidos;USA;United States;América do Norte;840
México;MEX;Mexico;América do Norte;484
Bermudas;BMU;Bermuda;América do Norte;60
Groenlândia;GRL;Greenland;América do Norte;304
Johnston, Ilhas;USA;Johnston (Island);América do Norte;840
São Pedro e Miquelon;SPM;Saint Pierre and Miquelon;América do Norte;666
Wake, Ilha;USA;Wake Island;América do Norte;840
Zona do Canal do Panamá;PCZ;Panama Canal Zone;América do Norte;592
Argentina;ARG;Argentina;América do Sul;32
Bolívia;BOL;Bolivia;América do Sul;68
Brasil;BRA;Brazil;América do Sul;76
Chile;CHL;Chile;América do Sul;152
Colômbia;COL;Colombia;América do Sul;170
Equador;ECU;Ecuador;América do Sul;218
Guiana Francesa;GUF;French Guyana;América do Sul;254
Guiana;GUY;Guyana;América do Sul;328
Paraguai;PRY;Paraguay;América do Sul;600
Peru;PER;Peru;América do Sul;604
Uruguai;URY;Uruguay;América do Sul;858
Venezuela;VEN;Venezuela;América do Sul;862
Internação na Zona Franca de Manaus;BRA;Internment in the Manaus Free Trade Zone;América do Sul;898
Antártica;ATA;Antarctica;Antarctica;10
